algorithm,accuracy_score,recall_score,precision_score,misclassifiction_rate,splits
knn,0.7533333333333333,0.34146341463414637,0.5833333333333334,0.2466666666666667,0.2
knn,0.74,0.3108108108108108,0.46,0.26,0.4
knn,0.7290076335877863,0.1984126984126984,0.3787878787878788,0.2709923664122137,0.7
dct,0.6933333333333334,0.34146341463414637,0.42424242424242425,0.2466666666666667,0.2
dct,0.7233333333333334,0.36486486486486486,0.42857142857142855,0.26,0.4
dct,0.6851145038167938,0.2619047619047619,0.3142857142857143,0.2709923664122137,0.7
overall_knn,0.7407803223070398,0.28356230795255183,0.4740404040404041,0.2592196776929601,null
overall_dct,0.7005937234944869,0.32274434713459105,0.38903318903318906,0.2592196776929601,null
